locationID,teeth_lost,arthritis,binge_drinking,cancer,copd,heart_disease,asthma,smoking,depression,diabetes,high_blood_pressure,high_cholesterol,physical_inactivity,obesity,short_sleep_duration,stroke
1093,17.8,30.7,16.6,7.5,9.7,7.9,10.7,18.8,27.5,12.4,36.2,33.3,29.8,39.5,38.6,4
1095,22.9,29.5,16.8,7.6,7.7,6.8,10.4,17.1,27.1,11.4,35.6,32.4,27.9,38.6,40.3,3.3
1097,15.8,29.3,15.7,6.5,8.6,7.3,10.9,19.1,24.8,13.5,38.3,33.1,28.7,42.2,41.5,4.1
1099,20.4,30.7,14.1,6.4,9,7.4,11.5,20.8,24.9,15.2,41.9,33.1,32.9,42.7,45.6,4.5
1101,14.7,28.8,12.9,6,7.7,6.9,11.5,18.1,22.4,15.7,41.7,30.9,29.6,44.6,43.8,4.3
1103,18.3,28.6,16.2,7,8.2,7.1,10.3,17.5,26.7,12.9,37.4,33.5,29.6,38.7,39.6,3.6
1105,30.1,34.1,11.8,5.7,10.4,8.3,12.5,23.5,23.7,18.9,49.1,33.6,38.8,50,47.4,5.8
1107,25,30.8,14.4,6.4,8.9,7.6,11,19.6,23.5,14.5,41.6,32.4,32.6,43.8,42.2,4.4
1109,16.6,29.8,14.6,6.7,7.3,6.7,10.6,16.4,23.6,13.7,39.4,32,29.7,40.6,40.1,3.9
1111,15.8,30.7,16.2,7,8.8,7.3,10.9,20.4,27.1,13,39.2,32,31.4,40.9,40.1,3.9
1113,19.5,30.9,14.7,6.2,9,7.4,11.6,20.3,24.2,15.8,41.8,32.4,33,46.9,43.3,4.6
1115,11.9,28.7,18.1,7.5,6.8,6.2,10,15.2,26.8,10.6,33.5,33,24.8,33,35.8,3
1117,11.3,26.4,16.8,7.6,5,5.2,9.5,11.2,23.9,9.5,33.7,31.2,20.8,32.1,35.1,2.5
1119,29.8,32.2,11.9,5.5,9,7.5,12.1,20.7,23.4,17.6,47.4,32.7,35.8,45.2,48.3,5.3
1121,18.4,31.6,14.8,6.8,8.6,7.2,11.5,18.5,25.2,14.1,41.2,33.3,31.4,42.6,44.7,4
1123,17.6,30.1,15.9,7,8.2,7.2,10.9,17.6,24.9,12.9,38.4,33.3,29.3,41.9,42.5,3.9
1125,15,29.2,15.1,6.8,7.6,6.7,10.8,17.6,25.8,12.8,39.7,33.2,28,41.4,41.9,3.6
1127,17,32.1,15.6,7.4,10.3,7.9,11,21.8,29.8,12.8,36.3,32.9,34,42.9,43.6,4
1129,16.2,30.9,15.1,6.8,9.2,7.6,11.2,21.2,25.9,13.8,41.3,33.1,31.9,41.5,44.4,4.3
1131,34,33.2,11.8,5.5,10.9,8.2,12.7,25,24,18.8,48.2,32.2,40.7,48.5,47.4,5.8
1133,14.5,30.2,17.3,7.5,9.1,7.7,10.2,17.8,27.6,11.9,35.6,33,28.1,36.3,37.3,3.8
2013,16.9,19.8,16.4,4.9,5.4,6.9,8,17.2,12.5,12.6,31.3,28.8,29.8,30.9,41.8,3.8
2016,15,18.6,19.5,5,5,6.3,8.1,16.3,13.3,11.2,29.3,29.6,27.1,28.9,38.9,3.3
2020,13.6,22,19.1,6.6,4.6,5.1,10.2,13.6,21,7.9,27,27.1,19.9,29.6,34.7,2.7
2050,31.5,28.9,18.1,6,11,9.6,14.1,33.8,21.7,14.3,36.7,27.6,35.4,41.5,41.8,6.3
2060,12.4,22.8,22.2,6.7,6.3,6.6,11.5,18,21,9.1,28.5,27,21,32,38,3.5
2063,9.8,21,21.9,6.8,5.3,5.6,9.9,14.9,19,7.8,25.1,28.1,20,30.4,34.7,2.8
2066,15,23.5,20.9,7,6.5,6.5,10.8,17.5,20.4,8.9,27.6,28.6,22.6,32.6,36.3,3.4
2068,12.9,21.6,21.8,6.7,5.6,5.9,9.5,15.1,18.5,7.7,27.5,26.8,20.7,30.8,32.3,2.9
2070,19.7,27.1,21.9,6.1,9,8.4,12.9,27.4,22.4,12.7,31.1,25.8,27.9,37.2,37.8,5.1
2090,11.5,21.9,21,7.1,4.8,5.2,9.9,13.9,20.2,7.6,27.9,27.8,20.3,32.1,36.8,2.6
2100,13.8,21.4,22.1,7.1,5.5,5.7,10.2,15.7,20.3,7.3,28.2,27.3,19.9,32.6,33,2.9
2105,20.2,23.1,20.6,6.7,7,7.1,11.6,20.6,20.7,10,30.1,27.6,24.8,31.7,37.7,3.9
2110,13,20.6,21.5,6.9,4.9,5.3,9.8,14.8,19.5,7.7,27.2,27.1,20.3,32.8,32.8,2.6
2122,15.8,22.6,19.5,7.1,6.2,6.2,10,16.3,22.8,7.9,28.9,29.4,20.3,32,30.2,3.1
2130,11.7,22.6,21.8,6.8,5.5,5.9,10.5,15.3,20.6,8.5,27.4,27.8,20.7,34.3,38.8,3
2150,13.3,21.1,18.2,5.9,5.6,5.8,9.8,16.8,18.5,9.3,28.1,29.3,22.7,30.3,38.7,3
2158,44.6,30.9,16.9,5.9,13.2,11,14.7,38.3,23.9,17.6,40.7,28.4,40.3,46,45.6,7.6
2164,23.3,25.3,19.5,6.3,7.9,7.7,12.5,23.5,21.1,11.8,30.2,26.7,27.2,38.2,40.4,4.6
2170,14.7,25,18.3,7.1,7.2,6.4,11.4,19.5,24.1,8.6,30,28,26,31.4,34.2,3.2
2180,27.4,28.1,18.3,6.2,10.1,9,13.7,32.9,21.9,13.7,33.8,26.9,31,37.2,44,5.7
2185,16.7,22.7,21.8,6.1,7,7.3,10.7,22.3,18.1,10.7,33.1,27.9,24.5,40.7,39,4.1
2188,30.4,27.5,20.1,6.2,9.3,8.8,13.5,29.2,22.1,13.5,33.8,27.3,30.6,38,42.7,5.4
2195,11.7,21.6,21.3,6.8,5.7,6.1,10,16.3,19.4,8.3,25.8,26.6,20.7,30.4,33.3,3
2198,21,24.3,20.2,6.6,7.9,7.7,12,22.1,22.3,10.8,31.7,27.7,24,37.6,36.2,4.3
2220,10.2,21.8,19.7,6.7,5.7,5.8,10.6,15.8,20.7,8.4,27.5,26.5,20.7,32.3,31.8,3
2230,14.3,22.4,21.6,6.9,6.2,6,10.3,17.5,20.6,8,27.7,27.9,22.7,33,36,3
2240,13.8,22.6,18.9,6.9,7.7,7.2,10.4,19.9,17.6,9.2,31.1,28.7,25.7,37.3,35.9,3.7
2275,15.8,22.7,20.2,6.9,6.6,6.2,11.1,19.3,21.1,8.8,29.6,28.7,23.1,34.4,36.8,3.3
2282,16.7,22.7,19.9,6.2,7.1,7.3,11.2,20.6,19.8,10.6,30.3,28.2,25,32.6,38.8,3.9
2290,31.6,26.2,19.1,6.3,9.9,9.1,13.1,29.4,22.3,13.4,35.1,27.3,30.8,39.5,40.7,5.7
4001,29.6,27.6,16.8,6.6,12,9.7,15.1,27.1,24.9,17.9,33.4,28.5,31.6,39.1,42.7,6.5
4003,12.1,23.2,18.5,7,7.2,6.6,10.4,15.3,22.6,10.8,30.5,29.8,24,32.9,35.2,3.5
4005,10.3,22.6,19.7,7.1,6.8,6.4,11.1,13.8,22.2,10.4,26.5,26.2,18,27,32.9,3.6
4007,18.7,26.9,19.6,7.1,8.3,6.9,11.9,18.5,24.7,11.7,27.3,24.9,24.5,34.4,36.8,3.8
4009,16.9,23.8,18.4,6.8,6.8,6.6,10.8,15.7,24.2,12.5,29.1,30,25.6,40.4,37.6,3.5
4011,13,21.4,19,6.4,6,6.1,10,13.4,20.4,11.4,25.8,27,25,32.5,37.7,3.1
4012,17.6,25,18.2,6.7,8.8,7.4,11.5,18.6,23.7,12.9,30.1,28.4,29.2,35.9,39,4.1
4013,14,22.5,18.4,7.4,5.7,5.7,10.2,11.8,20.9,10.4,27.3,29.9,22,32.7,34.9,2.9
4015,15.6,25.2,19.7,7.5,8,6.9,11,17.6,24.6,10.8,28.1,26.9,27.3,36.6,41.7,3.5
4017,24.5,25.2,17.7,7,9.7,7.9,13.1,22.4,24.2,13.3,32.5,28.1,25.9,38.5,37.8,4.8
4019,14.2,22.8,17.6,7.1,5.9,5.7,10.4,14,25,10.3,27.9,29.2,24.6,32.8,38.8,3
4021,19.3,24.6,18.9,7.1,6.8,6.3,11.1,15.1,22.9,11.8,28.7,31.1,25.2,38.9,41.1,3.2
4023,20.9,21.2,17.9,5.7,5.6,6.3,9.9,13.6,19.6,14.6,27.2,29.9,27.8,32.4,36.4,3.3
4025,11.9,23.9,19.9,7.6,6.9,5.8,11.1,15.2,22.9,9.1,25.6,28.2,21.8,27.7,34.2,3
4027,22.1,22.7,18.7,6.1,6.5,6.8,10,14.4,20.4,13.9,30.1,30.5,30.6,42.3,35.9,3.6
5001,21.4,28.6,16.1,6.7,9.1,7.5,11.7,22.8,27.8,13.7,36.5,29.5,36.1,40.9,43.7,4.1
5003,30.3,30.3,15.7,6.8,8.9,7.9,11.5,21.2,27,14.5,39.3,29.9,36.2,42.1,43.8,4.3
5005,19.2,28.4,17.6,7.6,8.8,7.6,10.9,21,30,11.6,35.3,32.9,29.1,41.3,37.4,3.6
5007,12.1,24.8,18.1,7.4,5.9,6.2,9.8,13.8,23.8,11,31.6,30.9,23.1,34.2,34,2.8
5009,22.3,29.3,18.8,7.7,7.8,6.8,11.2,20,30.9,11.2,35.4,33.3,29.5,39.4,39.3,3.2
5011,26.6,30.4,15.6,6.4,9.1,7.7,11.6,22.3,26.5,14.9,39.6,32.9,35.6,41.5,43.8,4.3
5013,22.1,28,17.5,6.9,8,6.9,11.3,22.5,27.1,12.9,37.5,29.9,32.7,38.7,40.8,3.5
5015,17.7,27.6,18.3,7.2,8.1,7.5,10.3,18.1,27.2,12.6,34.6,31.2,29.5,35.6,37.2,3.6
5017,32.9,31,13.8,5.9,9.6,8.1,11.7,23.4,24.3,17.4,45.1,31.2,38.5,44.6,47.6,5.1
5019,21.6,29.9,15.7,6.9,9.3,7.8,11.8,21.5,27.6,14.3,37.9,30.6,33.4,40.4,43.5,4.2
5021,20.2,30.2,18.1,7.5,10,8,11.5,23.6,31.2,12.6,37.9,31.5,33.6,38.1,38.8,3.9
5023,20,29.6,18.6,7.8,8.4,7.3,11.4,21.2,30.5,11.7,35.1,32.6,30.4,36.6,37.9,3.4
5025,23,31.3,16.7,7.1,9.8,8,11.6,23.9,30.3,13.4,38.1,32,35.3,41,44,4.1
5027,23.6,29,16.6,6.4,8.2,7.3,11.3,19.8,26,14.3,41.1,31.2,31.3,41.1,42.1,4.1
5029,17.4,30.5,16.8,7,9.8,8,11.5,24.1,29.1,13.5,39.1,33.3,35.2,41.3,40.8,4.2
5031,18.6,29.4,16.4,7.2,8.7,7.5,11.2,19.8,28.7,12.3,36.5,32.7,33,37.5,41.3,3.8
5033,17.5,28.7,17.4,7.4,8.9,7.6,10.8,18.9,27.7,12.5,35.7,34.3,30,39.5,37.9,3.7
5035,28.5,30.1,14.3,6.3,8.7,7.3,12.6,22.6,26.7,15.8,42.9,32,35.7,41.5,43,4.4
5037,29.2,30.5,16.2,6.9,9.1,7.7,11.5,21.8,27.8,13.9,38.9,32.3,32.9,38.5,42.3,4.2
5039,23.3,29,16.1,6.2,8.4,7.2,11.6,22.1,25.5,14.4,40.2,30.8,35.1,44,45.8,4.2
5041,26.8,31.4,14.1,6,11,8.5,12.9,26.4,26.7,17.6,44.6,30.8,41,45.2,44.3,5.4
5043,21.1,29.8,16.7,6.9,8.1,7.3,11.4,20.8,27.7,13.7,39.1,32.3,33.9,41.6,41.8,3.9
5045,15.9,28.9,16.9,7.5,6.9,6.7,10.6,16.1,27.5,11.9,34.7,31.5,25.5,37.8,38,3.3
5047,25.6,29.8,17.3,7.4,9.9,7.9,11.2,24.4,29.2,12.8,38.9,32.8,35.5,40.1,41.8,4
5049,18.4,30.8,16.7,7.3,11.5,9,12,26.2,31.3,13.7,39.1,34.3,37.5,39,41.2,4.7
5051,18.1,27.3,18.6,7.5,7.1,6.9,10.9,17.1,30.4,11.5,33.8,31.8,28,37.8,38,3.2
5053,18.3,28.1,19,7.6,7.7,6.9,10.9,20.4,28.9,11,34.5,32,30,35.5,39.3,3.2
5055,22.5,30.5,17.8,7.4,9.5,7.8,11.3,22.5,30.4,12.6,35.3,32.4,33.1,37.6,41.5,3.9
5057,22.5,29.4,15.7,6.5,8.3,7.3,11.7,20.8,26.7,14.5,38.8,31.3,32.9,41.2,41.3,4.1
5059,22.1,30.5,17.7,7.3,8.5,7.6,10.8,21.8,27.3,13,36.8,32.9,32,38.6,40.1,3.7
5061,22.9,28,16.8,7,7.5,7,11.2,19.3,26.2,13.2,37.8,31.9,31,39.7,41.8,3.7
5063,19.5,30,17.2,7.5,9.5,7.8,11.3,24.1,30,12.6,37.7,32.9,34.1,39.6,40.8,3.8
5065,27.1,29,17.8,7.7,8.4,7.3,10.9,22.1,28.4,11.9,37.1,32.8,31.3,36.9,38,3.5
5067,22.5,31.5,16.9,7,10.1,8.1,11.7,24.6,28.5,14.3,40.9,33.1,36.8,40.6,43.3,4.4
5069,24.8,29,15.3,5.9,8.5,7.2,11.9,24.2,25.7,15.3,45.7,32.3,35.4,44.5,46.7,4.4
5071,28.1,30.5,16.5,7.1,10.3,8.4,11.3,23.6,29.5,14,36.2,32.2,37,39.1,41.9,4.3
5073,35.8,31.2,15.3,6.3,10.9,8.4,12.2,26.1,27.2,15.9,42.8,32.8,39,42.9,43.6,5
5075,19,30.8,17.7,7.4,10.8,8.3,11.6,24.2,31.7,13.1,36.3,31.7,35.2,41.5,40.2,4.3
5077,25.1,31.1,14.9,5.8,10.3,8.5,11.6,26.7,24.3,17.5,46.8,33.5,39.5,44.9,46.2,5.3
5079,25.4,29.1,17.5,6.6,9.2,8.1,10.8,23.8,25.1,14.9,41.1,32.5,36.4,39.8,43,4.3
5081,24.2,29.1,17.2,6.9,7.9,7,11.1,20.8,27.3,12.6,36.3,32.2,32.1,38.9,40.4,3.6
5083,19.9,30,18.1,7.4,9.3,7.7,11.4,21.1,29.6,12.2,36.4,31.9,32.4,37.7,40.1,3.8
5085,12.9,28.6,17.7,7.5,7.5,7,10.9,18,28.1,11.8,35.5,32.1,26.1,38,38.6,3.3
5087,20.3,28.7,17.3,7.4,9.3,7.8,11.1,23.1,28.3,12.5,36,32.5,34.3,36,38.8,3.8
5089,21.7,29.2,18.4,7.6,8.9,7.9,11,20.5,29,12.3,35,32.3,29.1,36.8,39,3.8
5091,28.9,30.7,16.1,6.8,9.6,7.7,11.8,23.9,27.6,13.9,38.8,32.1,35,43.7,41.8,4.2
5093,26.8,31.6,15.7,6.4,9.6,7.7,12.2,24.4,28,15.6,40.3,32.4,37.5,43.2,46.5,4.4
5095,24.4,31.1,15.1,6.2,9.9,7.9,12.1,24.2,26.7,15.5,42,32.9,38.1,43.4,43,4.6
5097,17.7,30.1,17.5,7.5,9.1,7.8,11.2,21.2,29.1,12.7,37.3,32.8,31.3,39.8,41.1,3.8
5099,21.6,30.9,15.7,6.7,9.4,7.9,11.8,23,27.3,14.8,40.4,32.1,35.2,41.5,44.2,4.5
5101,17.5,30.7,18.8,7.4,9.3,7.5,11.4,23.4,30.6,12.2,35.4,31.8,33.2,39.5,40.3,3.7
5103,26.7,30.6,15.3,6.5,8.1,7.2,11.6,20.9,26.4,14.3,40.2,29.9,33.4,42.5,42.5,4.1
5105,17.9,29.2,18.8,7.6,8.4,7.4,11,20.4,29.2,12.2,35.5,31.8,30.2,37.6,40.2,3.6
5107,35.1,33.3,13,5.7,10.3,8.1,13,24.9,25.5,17.7,45.3,32.1,41.6,51.3,50.5,5.4
5109,15.7,29.4,17.8,7.5,8.4,7.4,11.1,21.2,29.1,12.3,35.9,32.4,31.9,37.1,40.9,3.6
5111,26.1,32.1,16.1,7.3,11.3,8.5,12.2,26.9,31.1,14,38.9,33.3,36.7,40.8,42,4.4
5113,27.1,29.5,17.7,7.4,8.9,7.6,11.2,21.8,30.1,12.5,34.7,32.3,32.2,37,39.3,3.7
5115,19.9,28.6,17.3,7.4,8.8,8,11.1,19.2,29.7,12.7,36.8,33.6,28.5,36.1,37.7,3.9
5117,15.9,29.5,17.6,7.3,9.4,7.3,11.9,24.3,28.9,12.4,35.8,31.9,34.3,38.3,41.1,3.7
5119,16.6,25.8,18.6,6.8,6.7,6.6,10.8,16.7,25.8,12.7,38,30.1,26.7,38.4,39.2,3.5
5121,29.2,30.5,18.1,7.4,10.3,8.5,11.6,23.2,30.5,13,38.6,33,33.8,37.4,38.1,4.2
5123,26.1,31.4,14,6,10.2,8.5,12.1,26.5,25.2,17.1,46.3,32.4,40.7,44.5,47.3,5.3
5125,14.2,26.7,18.7,7.5,6.3,6.2,10.1,15,27.1,10.6,34.7,31.6,25,37.2,37.2,2.9
5127,17.4,29,17.5,7.3,9.3,7.9,11.1,22.4,28.4,12.9,36.6,32.2,32.4,38.4,38.8,3.9
5129,20.4,31.6,17.2,7.4,11,8.7,11.6,25.1,30.6,13.8,38.1,33,35.6,40.8,42,4.4
5131,16,28.2,15.8,7.1,8.7,7.8,11.5,19.1,30.3,13.2,36,31.6,33.3,35.9,38.5,3.9
5133,24,27.5,17.4,6.9,8.1,7.8,10.9,19.4,26.9,14.4,37.2,31.8,34.4,41.5,40.2,3.8
5135,24.5,31.1,17.6,7.6,9.5,7.7,11.5,25,30.1,12.1,38.1,32.9,35.8,38,38.6,3.8
5137,23,30.9,16.7,7.5,10.1,8.2,11.5,23.6,31.1,12.8,38.5,32,33.5,37.2,42,4.1
5139,21,27.2,16.5,6.6,7.5,7,11,18.2,24.9,13.5,37.7,31.4,31.3,41.2,40.3,3.9
5141,20.3,30.5,17.2,7.4,10.4,8.2,11.5,24.3,30.2,13.1,36.4,33,34.9,37,41.4,4.1
5143,17,26.5,19.3,7.2,7.7,7.2,10.7,17.2,26.3,11.9,33.5,31.6,28.4,33.5,35.3,3.5
5145,19.9,30.2,18.1,7.4,8.9,7.5,11.3,21.6,29.5,12.5,37.9,34.5,34.2,40.4,38.2,3.6
5147,21.4,30.5,15.8,6.7,9.8,7.9,11.9,24.4,28.7,14.4,39.8,32.7,35.9,41.3,41.3,4.4
5149,20.9,29.2,17.8,7,9.5,8.1,10.9,21.2,28,13.6,37.6,32.1,35.2,38.7,39.9,4
6001,5.8,16.9,18.6,5.8,4,4.7,8.9,10.1,20.1,9.2,25.7,30.3,18.8,19.4,35.1,2.6
6003,9.1,21.1,22.4,7.5,5.5,5.7,10.5,13.4,23.2,8.8,26.7,28.8,18.1,29.9,35.1,2.9
6005,11.5,21,22,7.5,6,5.6,10.5,13.3,23.1,9,26.7,29.8,18.9,27.3,34.4,2.9
6007,9.9,22.6,20.2,7.3,6.6,5.8,10.7,14.2,24.9,9.8,28.8,30.3,22.5,31.5,33.7,3.2
6009,12.8,22.6,20.6,7.4,6.7,6,10.8,14.8,25,9.4,27.9,30,20.1,29.4,35.1,3.2
6011,13.7,20.8,19.8,6.2,6.4,6.3,10.6,14.7,22.3,11.7,28.5,31.2,27.2,32.2,34.8,3.4
6013,8.4,18.9,19.6,6.2,4.7,5,9.5,10.5,18.2,9.6,24.9,27,18.6,28.4,35.8,2.7
6015,13.5,23.7,20,7,8.9,7.1,11.6,19.2,25.4,11.2,30.5,31.1,26.5,33.8,39.1,4
6017,8.2,20.5,22.4,7.6,4.7,4.9,10,10.6,24,7.8,25.1,30,15.2,24.8,33.8,2.5
6019,14,20.4,16.2,6,6.4,6.2,10.7,14.2,23,13,31,31,26.1,39,36.2,3.5
6021,15.5,21.9,19.6,6.7,6.9,6.2,10.9,15.6,24,11.2,29.6,30.3,26.5,34.1,37.3,3.5
6023,12.7,23.8,20.2,7.6,7.2,6.2,11.7,17.3,26.9,9.6,29.4,31.6,21.7,33.1,36.4,3.4
6025,20.5,21,18,5.2,6,6.7,10.2,14,20.7,15.1,29.9,31.7,32.3,38.5,41.5,3.8
6027,9,21.5,21.5,7.3,5.7,5.4,10.6,13.8,23.5,9.3,26.5,29.6,19.7,29.9,33.6,2.9
6029,22.4,21.9,17.7,6,7,6.4,10.4,16.6,21.6,13,30.7,31.9,30.8,35.9,38.7,3.8
6031,15.7,21.2,18.8,5.9,6.7,6.6,10.5,16.3,21.7,13,30.6,31.7,29.8,31.9,36.1,3.7
6033,15.3,22.4,19.7,7.4,6.4,6,11.1,14.1,24.7,9.7,28.4,29.9,22.3,30.7,35.4,3.3
6035,12.4,22.2,21.4,7.1,7.4,6.6,10.7,16.9,23.4,10.5,30.2,30.8,23.7,32.8,39.8,3.6
6037,12.4,17.5,18.2,5.5,4.5,5,9.1,10.6,20.4,11.4,26.9,32.8,22.6,26.2,35.7,2.9
6039,20.1,22.1,18.9,6.2,6.9,6.4,10.8,15.2,23.7,12.7,28.7,31.5,28.6,35.2,37.6,3.6
6041,6,18.8,23.2,7.6,3.6,4.3,9.4,7.5,20.4,7.3,21.6,27.7,12.8,23.5,30,2.1
6043,16.2,23.5,20.7,7.4,7.7,6.5,11.4,16.9,25.9,9.8,28.2,30.1,22.1,32.3,35.5,3.6
6045,12.6,21.9,19.8,7.3,6.6,5.9,10.8,14.5,24.4,9.8,28,30.7,21.6,29.4,35.5,3.2
6047,18.6,21.7,17.4,5.7,7.5,6.8,11.1,18,23.3,13.6,30.6,31.7,31.1,34.5,38.9,3.9
6049,14.7,22.5,20.6,7.5,6.8,6.1,11.1,14.1,25.5,9.7,28.8,30.4,21.5,30,34.3,3.3
6051,12,20.4,21.6,7.3,5.6,5.5,10.2,12.6,23.2,8.9,26.1,29.9,19.1,29.1,33.1,2.8
6053,11.2,20,17.6,6.1,6,5.8,10.4,13.9,21,11.1,27.7,31.5,25.5,32.8,34.4,3.2
6055,6.5,20.9,20.4,6.6,5.7,5.4,10.1,12.9,22.6,9.6,26,30.5,22.8,28.7,32.9,2.9
6057,7.9,22.2,22.4,7.5,6.9,5.6,11,15.8,26.4,8.9,26.7,29.9,21.3,29.9,33.9,3
